,tahun,jenis_api,Nilai Produksi,Jumlah Hari,Tanggal Berangkat,Tanggal Kedatangan,nama_ikan_id,berat
5576,2018,Bagan perahu,1180000,3,2018-02-12T00:00:00.000,2018-02-14T00:00:00.000,Kembung Perempuan [RAB],59
5761,2018,Jaring insang berlapis,700000,2,2018-02-14T00:00:00.000,2018-02-15T00:00:00.000,Kembung Perempuan [RAB],25
5776,2018,Bagan perahu,1100000,2,2018-02-14T00:00:00.000,2018-02-15T00:00:00.000,Kembung Perempuan [RAB],55
5919,2018,Bagan perahu,320000,2,2018-02-15T00:00:00.000,2018-02-16T00:00:00.000,Kembung Perempuan [RAB],16
5922,2018,Bagan perahu,340000,2,2018-02-15T00:00:00.000,2018-02-16T00:00:00.000,Kembung Perempuan [RAB],17
5923,2018,Bagan perahu,480000,2,2018-02-15T00:00:00.000,2018-02-16T00:00:00.000,Kembung Perempuan [RAB],24
5924,2018,Bagan perahu,480000,2,2018-02-15T00:00:00.000,2018-02-16T00:00:00.000,Kembung Perempuan [RAB],24
5925,2018,Bagan perahu,520000,2,2018-02-15T00:00:00.000,2018-02-16T00:00:00.000,Kembung Perempuan [RAB],26
5926,2018,Bagan perahu,540000,2,2018-02-15T00:00:00.000,2018-02-16T00:00:00.000,Kembung Perempuan [RAB],27
5929,2018,Bagan perahu,680000,2,2018-02-15T00:00:00.000,2018-02-16T00:00:00.000,Kembung Perempuan [RAB],34
5930,2018,Bagan perahu,720000,2,2018-02-15T00:00:00.000,2018-02-16T00:00:00.000,Kembung Perempuan [RAB],36
5932,2018,Bagan perahu,740000,2,2018-02-15T00:00:00.000,2018-02-16T00:00:00.000,Kembung Perempuan [RAB],37
5946,2018,Jaring insang berlapis,2268000,2,2018-02-15T00:00:00.000,2018-02-16T00:00:00.000,Kembung Perempuan [RAB],81
6051,2018,Bagan perahu,460000,2,2018-02-16T00:00:00.000,2018-02-17T00:00:00.000,Kembung Perempuan [RAB],23
6056,2018,Jaring insang berlapis,756000,2,2018-02-16T00:00:00.000,2018-02-17T00:00:00.000,Kembung Perempuan [RAB],27
6066,2018,Bagan perahu,840000,3,2018-02-15T00:00:00.000,2018-02-17T00:00:00.000,Kembung Perempuan [RAB],42
6067,2018,Bagan perahu,840000,2,2018-02-16T00:00:00.000,2018-02-17T00:00:00.000,Kembung Perempuan [RAB],42
6088,2018,Bagan perahu,1240000,2,2018-02-16T00:00:00.000,2018-02-17T00:00:00.000,Kembung Perempuan [RAB],62
6098,2018,Bagan perahu,1300000,2,2018-02-16T00:00:00.000,2018-02-17T00:00:00.000,Kembung Perempuan [RAB],65
6101,2018,Bagan perahu,1360000,2,2018-02-16T00:00:00.000,2018-02-17T00:00:00.000,Kembung Perempuan [RAB],68
6240,2018,Bagan perahu,480000,2,2018-02-17T00:00:00.000,2018-02-18T00:00:00.000,Kembung Perempuan [RAB],24
6244,2018,Bagan perahu,680000,3,2018-02-16T00:00:00.000,2018-02-18T00:00:00.000,Kembung Perempuan [RAB],34
6255,2018,Bagan perahu,940000,2,2018-02-17T00:00:00.000,2018-02-18T00:00:00.000,Kembung Perempuan [RAB],47
6421,2018,Jaring insang berlapis,728000,2,2018-02-18T00:00:00.000,2018-02-19T00:00:00.000,Kembung Perempuan [RAB],26
