,tahun,jenis_api,Nilai Produksi,Jumlah Hari,Tanggal Berangkat,Tanggal Kedatangan,nama_ikan_id,berat
328680,2021,Jaring insang berlapis,1461600,2,2021-12-22T00:00:00.000,2021-12-23T00:00:00.000,Kembung Perempuan [RAB],812
328806,2021,Jaring insang berlapis,622800,2,2021-12-24T00:00:00.000,2021-12-25T00:00:00.000,Kembung Perempuan [RAB],346
328811,2021,Jaring insang berlapis,919800,2,2021-12-24T00:00:00.000,2021-12-25T00:00:00.000,Kembung Perempuan [RAB],511
328881,2021,Jaring insang berlapis,811800,2,2021-12-25T00:00:00.000,2021-12-26T00:00:00.000,Kembung Perempuan [RAB],451
328883,2021,Jaring insang berlapis,907200,2,2021-12-25T00:00:00.000,2021-12-26T00:00:00.000,Kembung Perempuan [RAB],504
328958,2021,Jaring insang berlapis,811800,2,2021-12-26T00:00:00.000,2021-12-27T00:00:00.000,Kembung Perempuan [RAB],451
329013,2021,Jaring insang berlapis,919800,2,2021-12-27T00:00:00.000,2021-12-28T00:00:00.000,Kembung Perempuan [RAB],511
329014,2021,Jaring insang berlapis,973800,2,2021-12-27T00:00:00.000,2021-12-28T00:00:00.000,Kembung Perempuan [RAB],541
329083,2021,Jaring insang berlapis,811800,2,2021-12-28T00:00:00.000,2021-12-29T00:00:00.000,Kembung Perempuan [RAB],451
329085,2021,Jaring insang berlapis,930600,2,2021-12-28T00:00:00.000,2021-12-29T00:00:00.000,Kembung Perempuan [RAB],517
329182,2021,Jaring insang berlapis,919800,2,2021-12-29T00:00:00.000,2021-12-30T00:00:00.000,Kembung Perempuan [RAB],511
329183,2021,Jaring insang berlapis,973800,2,2021-12-29T00:00:00.000,2021-12-30T00:00:00.000,Kembung Perempuan [RAB],541
330457,2021,Payang,47100,2,2021-05-09T00:00:00.000,2021-05-10T00:00:00.000,Kembung Perempuan [RAB],157
330514,2021,Payang,58500,2,2021-05-21T00:00:00.000,2021-05-22T00:00:00.000,Kembung Perempuan [RAB],195
333477,2021,Jaring insang berlapis,328000,1,2021-02-25T00:00:00.000,2021-02-25T00:00:00.000,Kembung Perempuan [RAB],164
333509,2021,Jaring insang berlapis,370800,1,2021-02-26T00:00:00.000,2021-02-26T00:00:00.000,Kembung Perempuan [RAB],206
333626,2021,Jaring insang berlapis,72000,1,2021-02-28T00:00:00.000,2021-02-28T00:00:00.000,Kembung Perempuan [RAB],36
333679,2021,Jaring insang berlapis,568000,1,2021-03-01T00:00:00.000,2021-03-01T00:00:00.000,Kembung Perempuan [RAB],284
333747,2021,Jaring insang berlapis,610000,1,2021-03-02T00:00:00.000,2021-03-02T00:00:00.000,Kembung Perempuan [RAB],305
333805,2021,Jaring insang berlapis,684000,2,2021-03-02T00:00:00.000,2021-03-03T00:00:00.000,Kembung Perempuan [RAB],342
333816,2021,Pukat hela dasar berpapan,23000,1,2021-03-04T00:00:00.000,2021-03-04T00:00:00.000,Kembung Perempuan [RAB],23
333832,2021,Jaring insang berlapis,530000,2,2021-03-03T00:00:00.000,2021-03-04T00:00:00.000,Kembung Perempuan [RAB],265
333844,2021,Pukat hela dasar berpapan,29000,1,2021-03-05T00:00:00.000,2021-03-05T00:00:00.000,Kembung Perempuan [RAB],29
333856,2021,Jaring insang berlapis,358000,2,2021-03-04T00:00:00.000,2021-03-05T00:00:00.000,Kembung Perempuan [RAB],179
333898,2021,Jaring insang berlapis,548000,2,2021-03-05T00:00:00.000,2021-03-06T00:00:00.000,Kembung Perempuan [RAB],274
333924,2021,Jaring insang berlapis,264000,2,2021-03-06T00:00:00.000,2021-03-07T00:00:00.000,Kembung Perempuan [RAB],132
333958,2021,Jaring insang berlapis,336000,1,2021-03-08T00:00:00.000,2021-03-08T00:00:00.000,Kembung Perempuan [RAB],168
333992,2021,Jaring insang berlapis,242000,1,2021-03-09T00:00:00.000,2021-03-09T00:00:00.000,Kembung Perempuan [RAB],121
334016,2021,Jaring insang berlapis,568800,1,2021-03-10T00:00:00.000,2021-03-10T00:00:00.000,Kembung Perempuan [RAB],316
334043,2021,Jaring insang berlapis,891000,1,2021-03-11T00:00:00.000,2021-03-11T00:00:00.000,Kembung Perempuan [RAB],495
334067,2021,Jaring insang berlapis,815400,1,2021-03-12T00:00:00.000,2021-03-12T00:00:00.000,Kembung Perempuan [RAB],453
334098,2021,Jaring insang berlapis,815400,2,2021-03-12T00:00:00.000,2021-03-13T00:00:00.000,Kembung Perempuan [RAB],453
334104,2021,Pukat hela dasar berpapan,102000,1,2021-03-14T00:00:00.000,2021-03-14T00:00:00.000,Bawal Putih,12
334125,2021,Jaring insang berlapis,682200,2,2021-03-13T00:00:00.000,2021-03-14T00:00:00.000,Kembung Perempuan [RAB],379
334147,2021,Jaring insang berlapis,523800,2,2021-03-14T00:00:00.000,2021-03-15T00:00:00.000,Kembung Perempuan [RAB],291
334175,2021,Jaring insang berlapis,711000,2,2021-03-15T00:00:00.000,2021-03-16T00:00:00.000,Kembung Perempuan [RAB],395
334204,2021,Jaring insang berlapis,885600,2,2021-03-16T00:00:00.000,2021-03-17T00:00:00.000,Kembung Perempuan [RAB],492
334226,2021,Jaring insang berlapis,799200,2,2021-03-17T00:00:00.000,2021-03-18T00:00:00.000,Kembung Perempuan [RAB],444
334239,2021,Jaring insang berlapis,662400,2,2021-03-18T00:00:00.000,2021-03-19T00:00:00.000,Kembung Perempuan [RAB],368
334272,2021,Jaring insang berlapis,473400,2,2021-03-19T00:00:00.000,2021-03-20T00:00:00.000,Kembung Perempuan [RAB],263
334300,2021,Jaring insang berlapis,586800,2,2021-03-20T00:00:00.000,2021-03-21T00:00:00.000,Kembung Perempuan [RAB],326
334336,2021,Jaring insang berlapis,984600,2,2021-03-21T00:00:00.000,2021-03-22T00:00:00.000,Kembung Perempuan [RAB],547
334379,2021,Jaring insang berlapis,662400,2,2021-03-22T00:00:00.000,2021-03-23T00:00:00.000,Kembung Perempuan [RAB],368
334415,2021,Jaring insang berlapis,435600,2,2021-03-23T00:00:00.000,2021-03-24T00:00:00.000,Kembung Perempuan [RAB],242
334438,2021,Jaring insang berlapis,984600,2,2021-03-24T00:00:00.000,2021-03-25T00:00:00.000,Kembung Perempuan [RAB],547
334461,2021,Jaring insang berlapis,482400,2,2021-03-26T00:00:00.000,2021-03-27T00:00:00.000,Kembung Perempuan [RAB],268
334482,2021,Jaring insang berlapis,586800,1,2021-03-28T00:00:00.000,2021-03-28T00:00:00.000,Kembung Perempuan [RAB],326
334504,2021,Jaring insang berlapis,2000000,2,2021-03-28T00:00:00.000,2021-03-29T00:00:00.000,Kembung Perempuan [RAB],100
334520,2021,Jaring insang berlapis,1264000,2,2021-03-29T00:00:00.000,2021-03-30T00:00:00.000,Kembung Perempuan [RAB],632
334560,2021,Jaring insang berlapis,798000,2,2021-03-30T00:00:00.000,2021-03-31T00:00:00.000,Kembung Perempuan [RAB],399
334595,2021,Jaring insang berlapis,1364400,2,2021-03-31T00:00:00.000,2021-04-01T00:00:00.000,Kembung Perempuan [RAB],758
334645,2021,Jaring insang berlapis,1231200,2,2021-05-02T00:00:00.000,2021-05-03T00:00:00.000,Kembung Perempuan [RAB],684
334647,2021,Jaring insang berlapis,2316000,2,2021-04-02T00:00:00.000,2021-04-03T00:00:00.000,Kembung Perempuan [RAB],1158
334689,2021,Jaring insang berlapis,2860200,2,2021-04-03T00:00:00.000,2021-04-04T00:00:00.000,Kembung Perempuan [RAB],1589
334725,2021,Jaring insang berlapis,1553400,2,2021-04-04T00:00:00.000,2021-04-05T00:00:00.000,Kembung Perempuan [RAB],863
334749,2021,Jaring insang berlapis,1477800,2,2021-04-05T00:00:00.000,2021-04-06T00:00:00.000,Kembung Perempuan [RAB],821
334765,2021,Jaring insang berlapis,1553400,2,2021-04-06T00:00:00.000,2021-04-07T00:00:00.000,Kembung Perempuan [RAB],863
334786,2021,Jaring insang berlapis,1144800,2,2021-04-07T00:00:00.000,2021-04-08T00:00:00.000,Kembung Perempuan [RAB],636
334819,2021,Jaring insang berlapis,662400,2,2021-04-09T00:00:00.000,2021-04-10T00:00:00.000,Kembung Perempuan [RAB],368
334835,2021,Jaring insang berlapis,795600,2,2021-04-10T00:00:00.000,2021-04-11T00:00:00.000,Kembung Perempuan [RAB],442
334846,2021,Jaring insang berlapis,586800,2,2021-04-11T00:00:00.000,2021-04-12T00:00:00.000,Kembung Perempuan [RAB],326
334903,2021,Jaring insang berlapis,739800,2,2021-04-19T00:00:00.000,2021-04-20T00:00:00.000,Kembung Perempuan [RAB],411
334920,2021,Jaring insang berlapis,815400,2,2021-04-20T00:00:00.000,2021-04-21T00:00:00.000,Kembung Perempuan [RAB],453
334930,2021,Jaring insang berlapis,586800,2,2021-04-21T00:00:00.000,2021-04-22T00:00:00.000,Kembung Perempuan [RAB],326
334947,2021,Jaring insang berlapis,455400,2,2021-04-23T00:00:00.000,2021-04-24T00:00:00.000,Kembung Perempuan [RAB],253
334959,2021,Jaring insang berlapis,511200,2,2021-04-24T00:00:00.000,2021-04-25T00:00:00.000,Kembung Perempuan [RAB],284
334973,2021,Jaring insang berlapis,720000,2,2021-04-25T00:00:00.000,2021-04-26T00:00:00.000,Kembung Perempuan [RAB],40
334981,2021,Jaring insang berlapis,606600,2,2021-04-26T00:00:00.000,2021-04-27T00:00:00.000,Kembung Perempuan [RAB],337
334993,2021,Jaring insang berlapis,1742400,2,2021-04-27T00:00:00.000,2021-04-28T00:00:00.000,Kembung Perempuan [RAB],968
335003,2021,Jaring insang berlapis,1080000,2,2021-04-28T00:00:00.000,2021-04-29T00:00:00.000,Kembung Perempuan [RAB],60
335013,2021,Jaring insang berlapis,1213200,2,2021-04-29T00:00:00.000,2021-04-30T00:00:00.000,Kembung Perempuan [RAB],674
335045,2021,Jaring insang berlapis,1175400,2,2021-05-01T00:00:00.000,2021-05-02T00:00:00.000,Kembung Perempuan [RAB],653
335093,2021,Jaring insang berlapis,919800,2,2021-05-03T00:00:00.000,2021-05-04T00:00:00.000,Kembung Perempuan [RAB],511
335115,2021,Jaring insang berlapis,586800,2,2021-05-04T00:00:00.000,2021-05-05T00:00:00.000,Kembung Perempuan [RAB],326
335138,2021,Jaring insang berlapis,833400,2,2021-05-05T00:00:00.000,2021-05-06T00:00:00.000,Kembung Perempuan [RAB],463
335154,2021,Jaring insang berlapis,597600,2,2021-05-06T00:00:00.000,2021-05-07T00:00:00.000,Kembung Perempuan [RAB],332
335168,2021,Jaring insang berlapis,795600,2,2021-05-07T00:00:00.000,2021-05-08T00:00:00.000,Kembung Perempuan [RAB],442
335180,2021,Jaring insang berlapis,397800,2,2021-05-08T00:00:00.000,2021-05-09T00:00:00.000,Kembung Perempuan [RAB],221
335185,2021,Jaring insang berlapis,871200,2,2021-05-09T00:00:00.000,2021-05-10T00:00:00.000,Kembung Perempuan [RAB],484
335199,2021,Jaring insang berlapis,351000,2,2021-05-10T00:00:00.000,2021-05-11T00:00:00.000,Kembung Perempuan [RAB],195
335211,2021,Jaring insang berlapis,820800,2,2021-05-15T00:00:00.000,2021-05-16T00:00:00.000,Kembung Perempuan [RAB],456
335233,2021,Jaring insang berlapis,493200,2,2021-05-16T00:00:00.000,2021-05-17T00:00:00.000,Kembung Perempuan [RAB],274
335260,2021,Jaring insang berlapis,1936000,2,2021-05-17T00:00:00.000,2021-05-18T00:00:00.000,Kembung Perempuan [RAB],968
335344,2021,Jaring insang berlapis,1481400,2,2021-05-21T00:00:00.000,2021-05-22T00:00:00.000,Kembung Perempuan [RAB],823
335368,2021,Jaring insang berlapis,833400,2,2021-05-22T00:00:00.000,2021-05-23T00:00:00.000,Kembung Perempuan [RAB],463
335391,2021,Jaring insang berlapis,700200,2,2021-05-23T00:00:00.000,2021-05-24T00:00:00.000,Kembung Perempuan [RAB],389
335442,2021,Jaring insang berlapis,586800,2,2021-05-24T00:00:00.000,2021-05-25T00:00:00.000,Kembung Perempuan [RAB],326
335475,2021,Jaring insang berlapis,795600,2,2021-05-25T00:00:00.000,2021-05-26T00:00:00.000,Kembung Perempuan [RAB],442
335499,2021,Jaring insang berlapis,597600,2,2021-05-26T00:00:00.000,2021-05-27T00:00:00.000,Kembung Perempuan [RAB],332
335550,2021,Jaring insang berlapis,928800,2,2021-05-28T00:00:00.000,2021-05-29T00:00:00.000,Kembung Perempuan [RAB],516
335587,2021,Jaring insang berlapis,682200,2,2021-05-29T00:00:00.000,2021-05-30T00:00:00.000,Kembung Perempuan [RAB],379
335630,2021,Jaring insang berlapis,586800,2,2021-05-30T00:00:00.000,2021-05-31T00:00:00.000,Kembung Perempuan [RAB],326
335631,2021,Jaring insang berlapis,586800,2,2021-05-30T00:00:00.000,2021-05-31T00:00:00.000,Kembung Perempuan [RAB],326
335669,2021,Jaring insang berlapis,624600,2,2021-05-31T00:00:00.000,2021-06-01T00:00:00.000,Kembung Perempuan [RAB],347
335710,2021,Jaring insang berlapis,189000,2,2021-06-01T00:00:00.000,2021-06-02T00:00:00.000,Kembung Perempuan [RAB],105
335774,2021,Jaring insang berlapis,340200,2,2021-06-03T00:00:00.000,2021-06-04T00:00:00.000,Kembung Perempuan [RAB],189
335794,2021,Jaring insang berlapis,1099800,2,2021-06-04T00:00:00.000,2021-06-05T00:00:00.000,Kembung Perempuan [RAB],611
335815,2021,Jaring insang berlapis,757800,2,2021-06-05T00:00:00.000,2021-06-06T00:00:00.000,Kembung Perempuan [RAB],421
335852,2021,Jaring insang berlapis,493200,2,2021-06-06T00:00:00.000,2021-06-07T00:00:00.000,Kembung Perempuan [RAB],274
335868,2021,Jaring insang berlapis,43200,2,2021-06-07T00:00:00.000,2021-06-08T00:00:00.000,Kembung Perempuan [RAB],24
335919,2021,Jaring insang berlapis,1497600,2,2021-06-08T00:00:00.000,2021-06-09T00:00:00.000,Kembung Perempuan [RAB],832
335964,2021,Jaring insang berlapis,1042200,2,2021-06-11T00:00:00.000,2021-06-12T00:00:00.000,Kembung Perempuan [RAB],579
335983,2021,Jaring insang berlapis,867600,2,2021-06-12T00:00:00.000,2021-06-13T00:00:00.000,Kembung Perempuan [RAB],482
335994,2021,Jaring insang berlapis,275400,2,2021-06-13T00:00:00.000,2021-06-14T00:00:00.000,Kembung Perempuan [RAB],153
336020,2021,Jaring insang berlapis,606600,2,2021-06-14T00:00:00.000,2021-06-15T00:00:00.000,Kembung Perempuan [RAB],337
336065,2021,Jaring insang berlapis,397800,2,2021-06-15T00:00:00.000,2021-06-16T00:00:00.000,Kembung Perempuan [RAB],221
336113,2021,Jaring insang berlapis,511200,2,2021-06-16T00:00:00.000,2021-06-17T00:00:00.000,Kembung Perempuan [RAB],284
336149,2021,Jaring insang berlapis,1137600,2,2021-06-18T00:00:00.000,2021-06-19T00:00:00.000,Kembung Perempuan [RAB],632
336192,2021,Jaring insang berlapis,795600,2,2021-06-19T00:00:00.000,2021-06-20T00:00:00.000,Kembung Perempuan [RAB],442
336222,2021,Jaring insang berlapis,397800,2,2021-06-20T00:00:00.000,2021-06-21T00:00:00.000,Kembung Perempuan [RAB],221
336255,2021,Jaring insang berlapis,682200,2,2021-06-21T00:00:00.000,2021-06-22T00:00:00.000,Kembung Perempuan [RAB],379
336307,2021,Jaring insang berlapis,568800,2,2021-06-22T00:00:00.000,2021-06-23T00:00:00.000,Kembung Perempuan [RAB],316
336348,2021,Jaring insang berlapis,586800,2,2021-06-23T00:00:00.000,2021-06-24T00:00:00.000,Kembung Perempuan [RAB],326
336378,2021,Jaring insang berlapis,568800,2,2021-06-24T00:00:00.000,2021-06-25T00:00:00.000,Kembung Perempuan [RAB],316
336397,2021,Jaring insang berlapis,531000,2,2021-06-25T00:00:00.000,2021-06-26T00:00:00.000,Kembung Perempuan [RAB],295
336408,2021,Jaring insang berlapis,417600,2,2021-06-26T00:00:00.000,2021-06-27T00:00:00.000,Kembung Perempuan [RAB],232
336469,2021,Jaring insang berlapis,662400,2,2021-06-28T00:00:00.000,2021-06-29T00:00:00.000,Kembung Perempuan [RAB],368
336495,2021,Jaring insang berlapis,493200,2,2021-06-29T00:00:00.000,2021-06-30T00:00:00.000,Kembung Perempuan [RAB],274
336499,2021,Pukat hela dasar berpapan,40000,1,2021-07-01T00:00:00.000,2021-07-01T00:00:00.000,Bawal Putih,5
336529,2021,Jaring insang berlapis,662400,2,2021-06-30T00:00:00.000,2021-07-01T00:00:00.000,Kembung Perempuan [RAB],368
336532,2021,Pukat hela dasar berpapan,80000,1,2021-07-02T00:00:00.000,2021-07-02T00:00:00.000,Bawal Putih,1
336555,2021,Jaring insang berlapis,417600,2,2021-07-01T00:00:00.000,2021-07-02T00:00:00.000,Kembung Perempuan [RAB],232
336570,2021,Pukat hela dasar berpapan,160000,1,2021-07-03T00:00:00.000,2021-07-03T00:00:00.000,Bawal Putih,2
336592,2021,Jaring insang berlapis,417600,2,2021-07-02T00:00:00.000,2021-07-03T00:00:00.000,Kembung Perempuan [RAB],232
336630,2021,Jaring insang berlapis,757800,2,2021-07-03T00:00:00.000,2021-07-04T00:00:00.000,Kembung Perempuan [RAB],421
336658,2021,Jaring insang berlapis,662400,2,2021-07-04T00:00:00.000,2021-07-05T00:00:00.000,Kembung Perempuan [RAB],368
336694,2021,Jaring insang berlapis,417600,2,2021-07-05T00:00:00.000,2021-07-06T00:00:00.000,Kembung Perempuan [RAB],232
336730,2021,Jaring insang berlapis,435600,2,2021-07-06T00:00:00.000,2021-07-07T00:00:00.000,Kembung Perempuan [RAB],242
336771,2021,Jaring insang berlapis,502200,2,2021-07-07T00:00:00.000,2021-07-08T00:00:00.000,Kembung Perempuan [RAB],279
336787,2021,Jaring insang berlapis,351000,2,2021-07-08T00:00:00.000,2021-07-09T00:00:00.000,Kembung Perempuan [RAB],195
336807,2021,Jaring insang berlapis,284400,2,2021-07-09T00:00:00.000,2021-07-10T00:00:00.000,Kembung Perempuan [RAB],158
336862,2021,Jaring insang berlapis,417600,2,2021-07-11T00:00:00.000,2021-07-12T00:00:00.000,Kembung Perempuan [RAB],232
336898,2021,Jaring insang berlapis,478800,2,2021-07-12T00:00:00.000,2021-07-13T00:00:00.000,Kembung Perempuan [RAB],266
336944,2021,Jaring insang berlapis,736200,2,2021-07-13T00:00:00.000,2021-07-14T00:00:00.000,Kembung Perempuan [RAB],409
336974,2021,Jaring insang berlapis,334800,2,2021-07-14T00:00:00.000,2021-07-15T00:00:00.000,Kembung Perempuan [RAB],186
337003,2021,Jaring insang berlapis,401400,2,2021-07-15T00:00:00.000,2021-07-16T00:00:00.000,Kembung Perempuan [RAB],223
337045,2021,Jaring insang berlapis,513000,2,2021-07-16T00:00:00.000,2021-07-17T00:00:00.000,Kembung Perempuan [RAB],285
337098,2021,Jaring insang berlapis,334800,2,2021-07-21T00:00:00.000,2021-07-22T00:00:00.000,Kembung Perempuan [RAB],186
337158,2021,Jaring insang berlapis,446400,2,2021-07-23T00:00:00.000,2021-07-24T00:00:00.000,Kembung Perempuan [RAB],248
337204,2021,Jaring insang berlapis,367200,2,2021-07-24T00:00:00.000,2021-07-25T00:00:00.000,Kembung Perempuan [RAB],204
337235,2021,Jaring insang berlapis,545400,2,2021-07-25T00:00:00.000,2021-07-26T00:00:00.000,Kembung Perempuan [RAB],303
337285,2021,Jaring insang berlapis,869400,2,2021-07-26T00:00:00.000,2021-07-27T00:00:00.000,Kembung Perempuan [RAB],483
337313,2021,Jaring insang berlapis,601200,2,2021-07-27T00:00:00.000,2021-07-28T00:00:00.000,Kembung Perempuan [RAB],334
337338,2021,Jaring insang berlapis,401400,2,2021-07-28T00:00:00.000,2021-07-29T00:00:00.000,Kembung Perempuan [RAB],223
337386,2021,Jaring insang berlapis,513000,2,2021-07-30T00:00:00.000,2021-07-31T00:00:00.000,Kembung Perempuan [RAB],285
337416,2021,Jaring insang berlapis,379800,1,2021-08-01T00:00:00.000,2021-08-01T00:00:00.000,Kembung Perempuan [RAB],211
337452,2021,Jaring insang berlapis,869400,2,2021-08-01T00:00:00.000,2021-08-02T00:00:00.000,Kembung Perempuan [RAB],483
337481,2021,Jaring insang berlapis,757800,2,2021-08-02T00:00:00.000,2021-08-03T00:00:00.000,Kembung Perempuan [RAB],421
337504,2021,Jaring insang berlapis,646200,2,2021-08-03T00:00:00.000,2021-08-04T00:00:00.000,Kembung Perempuan [RAB],359
337523,2021,Jaring insang berlapis,601200,2,2021-08-04T00:00:00.000,2021-08-05T00:00:00.000,Kembung Perempuan [RAB],334
337546,2021,Jaring insang berlapis,1069200,2,2021-08-05T00:00:00.000,2021-08-06T00:00:00.000,Kembung Perempuan [RAB],594
337565,2021,Jaring insang berlapis,563400,2,2021-08-06T00:00:00.000,2021-08-07T00:00:00.000,Kembung Perempuan [RAB],313
337586,2021,Jaring insang berlapis,271800,2,2021-08-07T00:00:00.000,2021-08-08T00:00:00.000,Kembung Perempuan [RAB],151
337637,2021,Jaring insang berlapis,624600,2,2021-08-10T00:00:00.000,2021-08-11T00:00:00.000,Kembung Perempuan [RAB],347
337698,2021,Jaring insang berlapis,523800,2,2021-08-12T00:00:00.000,2021-08-13T00:00:00.000,Kembung Perempuan [RAB],291
337746,2021,Jaring insang berlapis,601200,2,2021-08-13T00:00:00.000,2021-08-14T00:00:00.000,Kembung Perempuan [RAB],334
337780,2021,Jaring insang berlapis,457200,2,2021-08-14T00:00:00.000,2021-08-15T00:00:00.000,Kembung Perempuan [RAB],254
337808,2021,Jaring insang berlapis,489600,2,2021-08-15T00:00:00.000,2021-08-16T00:00:00.000,Kembung Perempuan [RAB],272
337836,2021,Jaring insang berlapis,334800,2,2021-08-16T00:00:00.000,2021-08-17T00:00:00.000,Kembung Perempuan [RAB],186
337889,2021,Jaring insang berlapis,489600,2,2021-08-17T00:00:00.000,2021-08-18T00:00:00.000,Kembung Perempuan [RAB],272
338029,2021,Jaring insang berlapis,468000,2,2021-08-21T00:00:00.000,2021-08-22T00:00:00.000,Kembung Perempuan [RAB],26
338145,2021,Jaring insang berlapis,657000,2,2021-08-24T00:00:00.000,2021-08-25T00:00:00.000,Kembung Perempuan [RAB],365
338218,2021,Jaring insang berlapis,891000,2,2021-08-26T00:00:00.000,2021-08-27T00:00:00.000,Kembung Perempuan [RAB],495
338242,2021,Jaring insang berlapis,401400,2,2021-08-27T00:00:00.000,2021-08-28T00:00:00.000,Kembung Perempuan [RAB],223
338266,2021,Jaring insang berlapis,271800,1,2021-08-29T00:00:00.000,2021-08-29T00:00:00.000,Kembung Perempuan [RAB],151
338297,2021,Jaring insang berlapis,390600,1,2021-08-30T00:00:00.000,2021-08-30T00:00:00.000,Kembung Perempuan [RAB],217
338327,2021,Jaring insang berlapis,234000,1,2021-08-31T00:00:00.000,2021-08-31T00:00:00.000,Kembung Perempuan [RAB],13
338359,2021,Jaring insang berlapis,275400,1,2021-09-01T00:00:00.000,2021-09-01T00:00:00.000,Kembung Perempuan [RAB],153
338412,2021,Jaring insang berlapis,259200,1,2021-09-02T00:00:00.000,2021-09-02T00:00:00.000,Kembung Perempuan [RAB],144
338445,2021,Jaring insang berlapis,189000,1,2021-09-03T00:00:00.000,2021-09-03T00:00:00.000,Kembung Perempuan [RAB],105
338481,2021,Jaring insang berlapis,410400,1,2021-09-04T00:00:00.000,2021-09-04T00:00:00.000,Kembung Perempuan [RAB],228
338513,2021,Jaring insang berlapis,275400,1,2021-09-05T00:00:00.000,2021-09-05T00:00:00.000,Kembung Perempuan [RAB],153
338537,2021,Jaring insang berlapis,147600,2,2021-09-05T00:00:00.000,2021-09-06T00:00:00.000,Kembung Perempuan [RAB],82
338649,2021,Jaring insang berlapis,275400,1,2021-09-09T00:00:00.000,2021-09-09T00:00:00.000,Kembung Perempuan [RAB],153
338689,2021,Jaring insang berlapis,468000,1,2021-09-10T00:00:00.000,2021-09-10T00:00:00.000,Kembung Perempuan [RAB],26
338711,2021,Jaring insang berlapis,212400,2,2021-09-10T00:00:00.000,2021-09-11T00:00:00.000,Kembung Perempuan [RAB],118
338745,2021,Jaring insang berlapis,279000,2,2021-09-11T00:00:00.000,2021-09-12T00:00:00.000,Kembung Perempuan [RAB],155
338790,2021,Jaring insang berlapis,378000,2,2021-09-12T00:00:00.000,2021-09-13T00:00:00.000,Kembung Perempuan [RAB],21
338868,2021,Jaring insang berlapis,552600,2,2021-09-14T00:00:00.000,2021-09-15T00:00:00.000,Kembung Perempuan [RAB],307
338899,2021,Jaring insang berlapis,930600,2,2021-09-15T00:00:00.000,2021-09-16T00:00:00.000,Kembung Perempuan [RAB],517
339008,2021,Jaring insang berlapis,1377000,2,2021-09-18T00:00:00.000,2021-09-19T00:00:00.000,Kembung Perempuan [RAB],765
339052,2021,Jaring insang berlapis,1310400,2,2021-09-19T00:00:00.000,2021-09-20T00:00:00.000,Kembung Perempuan [RAB],728
339088,2021,Jaring insang berlapis,1153800,2,2021-09-20T00:00:00.000,2021-09-21T00:00:00.000,Kembung Perempuan [RAB],641
339121,2021,Jaring insang berlapis,1108800,2,2021-09-21T00:00:00.000,2021-09-22T00:00:00.000,Kembung Perempuan [RAB],616
339147,2021,Jaring insang berlapis,1220400,1,2021-09-22T00:00:00.000,2021-09-23T00:00:00.000,Kembung Perempuan [RAB],678
339167,2021,Jaring insang berlapis,1130400,2,2021-09-23T00:00:00.000,2021-09-24T00:00:00.000,Kembung Perempuan [RAB],628
339194,2021,Jaring insang berlapis,1398600,2,2021-09-24T00:00:00.000,2021-09-25T00:00:00.000,Kembung Perempuan [RAB],777
339258,2021,Jaring insang berlapis,306000,2,2021-09-26T00:00:00.000,2021-09-27T00:00:00.000,Kembung Perempuan [RAB],17
339301,2021,Jaring insang berlapis,975600,2,2021-09-27T00:00:00.000,2021-09-28T00:00:00.000,Kembung Perempuan [RAB],542
339328,2021,Jaring insang berlapis,1576800,2,2021-09-28T00:00:00.000,2021-09-29T00:00:00.000,Kembung Perempuan [RAB],876
339359,2021,Jaring insang berlapis,1332000,2,2021-09-29T00:00:00.000,2021-09-30T00:00:00.000,Kembung Perempuan [RAB],74
339384,2021,Jaring insang berlapis,531000,2,2021-09-30T00:00:00.000,2021-10-01T00:00:00.000,Kembung Perempuan [RAB],295
339452,2021,Jaring insang berlapis,903600,2,2021-10-03T00:00:00.000,2021-10-04T00:00:00.000,Kembung Perempuan [RAB],502
339480,2021,Jaring insang berlapis,959400,2,2021-10-04T00:00:00.000,2021-10-05T00:00:00.000,Kembung Perempuan [RAB],533
339507,2021,Jaring insang berlapis,1002600,2,2021-10-05T00:00:00.000,2021-10-06T00:00:00.000,Kembung Perempuan [RAB],557
339545,2021,Jaring insang berlapis,813600,2,2021-10-06T00:00:00.000,2021-10-07T00:00:00.000,Kembung Perempuan [RAB],452
339586,2021,Jaring insang berlapis,1225800,2,2021-10-08T00:00:00.000,2021-10-09T00:00:00.000,Kembung Perempuan [RAB],681
339771,2021,Jaring insang berlapis,792000,2,2021-10-15T00:00:00.000,2021-10-16T00:00:00.000,Kembung Perempuan [RAB],44
339806,2021,Jaring insang berlapis,981000,2,2021-10-16T00:00:00.000,2021-10-17T00:00:00.000,Kembung Perempuan [RAB],545
339981,2021,Jaring insang berlapis,180,2,2021-10-31T00:00:00.000,2021-11-01T00:00:00.000,Kembung Perempuan [RAB],10
340229,2021,Jaring insang berlapis,891000,2,2021-11-30T00:00:00.000,2021-12-01T00:00:00.000,Kembung Perempuan [RAB],495
340293,2021,Jaring insang berlapis,833400,2,2021-12-02T00:00:00.000,2021-12-03T00:00:00.000,Kembung Lelaki,463
340313,2021,Jaring insang berlapis,682200,2,2021-12-03T00:00:00.000,2021-12-04T00:00:00.000,Kembung Perempuan [RAB],379
340328,2021,Jaring insang berlapis,1042200,2,2021-12-04T00:00:00.000,2021-12-05T00:00:00.000,Kembung Perempuan [RAB],579
